material,category,entropy_module,pubchem_cid,cas,fda_iid,gras,source,confidence,status,universe_tier
Trehalose,sugar,structural,,,,,curated_seed,high,active,core
Sucrose,sugar,structural,,,,,curated_seed,high,active,core
Raffinose,sugar,structural,,,,,curated_seed,medium,active,core
Mannitol,polyol,structural,,,,,curated_seed,high,active,core
Sorbitol,polyol,structural,,,,,curated_seed,high,active,core
Glycerol,polyol,structural,,,,,curated_seed,high,active,core
PEG,polymer,interface,,,,,curated_seed,high,active,core
PVP,polymer,interface,,,,,curated_seed,high,active,core
Dextran,polymer,interface,,,,,curated_seed,high,active,core
Pullulan,polymer,interface,,,,,curated_seed,high,active,core
Alginate,hydrogel,constraint,,,,,curated_seed,high,active,core
Chitosan,hydrogel,constraint,,,,,curated_seed,high,active,core
Silicic_Acid,mineral,constraint,,,,,literature_candidate,medium,pending_review,candidate
Calcium_Phosphate,mineral,constraint,,,,,literature_candidate,medium,pending_review,candidate
Ectoine,osmolyte,structural,,,,,literature_candidate,high,pending_review,candidate
Hydroxyectoine,osmolyte,structural,,,,,literature_candidate,high,pending_review,candidate
Betaine,osmolyte,structural,,,,,literature_candidate,high,pending_review,candidate
Poloxamer188,surfactant,interface,,,,,literature_candidate,high,pending_review,candidate
Trolox,antioxidant,interface,,,,,literature_candidate,medium,pending_review,candidate
EGTA,chelator,interface,,,,,literature_candidate,medium,pending_review,candidate