material,domain,mechanism,evidence_level,reference_type,status
Trehalose,Cryopreservation,Structural_Stabilization,High,Primary_Literature,active
Sucrose,Lyophilization,Structural_Stabilization,High,Primary_Literature,candidate
Raffinose,Lyophilization,Structural_Stabilization,Medium,Primary_Literature,candidate
Pullulan,Drying_Stabilization,Structural_Stabilization,Medium,Primary_Literature,candidate
Dextran,Protein_Formulation,Structural_Stabilization,High,Primary_Literature,active
PEG,Biologic_Formulation,Structural_Stabilization,High,Primary_Literature,active
PVP,Lyophilization,Structural_Stabilization,High,Primary_Literature,active
Glycerol,Cryopreservation,Structural_Stabilization,High,Primary_Literature,active
Ectoine,Extremophile_Biology,Structural_Stabilization,High,Primary_Literature,candidate
Hydroxyectoine,Extremophile_Biology,Structural_Stabilization,High,Primary_Literature,candidate
Betaine,Osmolyte_Research,Structural_Stabilization,High,Primary_Literature,candidate
Proline,Osmolyte_Research,Structural_Stabilization,High,Primary_Literature,candidate
Arginine,Protein_Formulation,Chemical_Stabilization,High,Primary_Literature,candidate
Histidine,Monoclonal_Antibody_Formulation,Chemical_Stabilization,High,Primary_Literature,candidate
Trolox,Oxidative_Protection,Chemical_Stabilization,High,Primary_Literature,active
Glutathione,Oxidative_Protection,Chemical_Stabilization,High,Primary_Literature,active
NAC,Oxidative_Protection,Chemical_Stabilization,Medium,Primary_Literature,candidate
Ergothioneine,Oxidative_Protection,Chemical_Stabilization,Medium,Primary_Literature,candidate
EDTA,Nucleic_Acid_Preservation,Chemical_Stabilization,High,Primary_Literature,active
EGTA,Nucleic_Acid_Preservation,Chemical_Stabilization,High,Primary_Literature,active
DTPA,Nucleic_Acid_Preservation,Chemical_Stabilization,High,Primary_Literature,active
Poloxamer188,Cell_Therapy,Interface_Stabilization,High,Primary_Literature,candidate
Poloxamer407,Drug_Delivery,Interface_Stabilization,Medium,Primary_Literature,candidate
BSA,EV_and_Protein_Stabilization,Interface_Stabilization,High,Primary_Literature,candidate
HSA,Biologic_Formulation,Interface_Stabilization,High,Primary_Literature,candidate
Cholesterol,Membrane_Stabilization,Interface_Stabilization,High,Primary_Literature,active
Silica,Biomineralization,Physical_Encapsulation,High,Primary_Literature,active
Calcium_Phosphate,Biomineralization,Physical_Encapsulation,High,Primary_Literature,active
Alginate,Hydrogel_Preservation,Physical_Encapsulation,High,Primary_Literature,candidate
Chitosan,Biomaterials,Physical_Encapsulation,High,Primary_Literature,candidate
Hyaluronic_Acid,Biomaterials,Physical_Encapsulation,High,Primary_Literature,candidate
Collagen,Biomaterials,Physical_Encapsulation,High,Primary_Literature,candidate